"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Mott Community College","Michigan","MI","Public","2 Year",NA,5030,5030,8657,8657,8937,NA,NA,NA,NA,NA,5287,57,36,1577,344,8,5547,285,687,396,2307
"Mount Aloysius College","Pennsylvania","PA","Private","4 Year",10648,23110,33758,23110,33758,1867,NA,NA,NA,NA,NA,1342,4,4,48,17,0,1277,0,494,23,73
"Mount Carmel College of Nursing","Ohio","OH","Private","4 Year",5000,13907,18907,13907,18907,1084,8,56600,99700,78,0,980,4,15,64,20,2,940,24,15,0,129
"Mount Holyoke College","Massachusetts","MA","Private","4 Year",14660,49998,64658,49998,64658,2255,NA,NA,NA,NA,NA,2245,1,222,137,173,1,1065,72,29,555,606
"Mount Ida College","Massachusetts","MA","Private","4 Year",13680,35720,49400,35720,49400,1320,NA,NA,NA,NA,NA,873,3,32,140,144,1,775,38,97,90,358
"Mount Marty College","South Dakota","SD","Private","4 Year",7986,27276,35262,27276,35262,1236,NA,NA,NA,NA,NA,727,29,13,34,64,5,1089,0,2,0,145
"Mount Mary University","Wisconsin","WI","Private","4 Year",8600,30100,38700,30100,38700,1385,NA,NA,NA,NA,NA,1333,6,68,227,135,3,884,45,12,5,484
"Mount Mercy University","Iowa","IA","Private","4 Year",9534,31798,41332,31798,41332,1762,22,47200,79000,51,4,1246,6,25,74,24,2,1466,25,90,50,156
"Mount Saint Mary College","New York","NY","Private","4 Year",15108,31118,46226,31118,46226,2479,NA,NA,NA,NA,NA,1769,16,50,189,314,7,1553,22,326,2,598
"Mount Saint Mary's University","California","CA","Private","4 Year",12235,41170,53405,41170,53405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount San Antonio College","California","CA","Public","2 Year",NA,1442,1442,9414,9414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount San Jacinto College","California","CA","Public","2 Year",NA,1394,1394,10034,10034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount St. Joseph University","Ohio","OH","Private","4 Year",9442,30100,39542,30100,39542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount St. Mary's University","Maryland","MD","Private","4 Year",13075,41350,54425,41350,54425,NA,13,50200,94100,50,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mount Vernon Nazarene University","Ohio","OH","Private","4 Year",8170,29244,37414,29244,37414,2137,NA,NA,NA,NA,NA,1375,3,12,114,38,3,1746,12,184,25,182
"Mount Wachusett Community College","Massachusetts","MA","Public","2 Year",NA,6510,6510,12660,12660,4336,NA,NA,NA,NA,NA,2789,21,86,315,638,3,3045,107,103,18,1170
"Mountain Empire Community College","Virginia","VA","Public","2 Year",NA,4710,4710,10638,10638,2718,NA,NA,NA,NA,NA,1665,5,7,52,27,0,2593,26,7,1,117
"Mountain View College","Texas","TX","Public","2 Year",NA,1770,1770,5220,5220,8950,NA,NA,NA,NA,NA,5153,29,326,2212,5083,4,963,81,235,17,7735
"Mt. Hood Community College","Oregon","OR","Public","2 Year",NA,5407,5407,10312,10312,9276,NA,NA,NA,NA,NA,4833,93,595,449,1029,62,5457,386,1179,26,2614
"Mt. Sierra College","California","CA","For Profit","4 Year",NA,15688,15688,15688,15688,467,NA,NA,NA,NA,NA,136,2,44,27,206,9,81,33,59,6,321
"MTI College","California","CA","For Profit","2 Year",NA,15250,15250,15250,15250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muhlenberg College","Pennsylvania","PA","Private","4 Year",11765,52595,64360,52595,64360,2440,17,53400,101900,43,20,1457,4,64,74,155,0,1839,36,240,28,333
"Multnomah University","Oregon","OR","Private","4 Year",8870,25900,34770,25900,34770,753,22,40500,76400,82,0,332,6,9,28,46,4,599,30,26,5,123
"Murray State College","Oklahoma","OK","Public","2 Year",6800,4820,11620,10970,17770,2473,NA,NA,NA,NA,NA,1693,293,8,100,178,2,1465,235,30,162,816
"Murray State University","Kentucky","KY","Public","4 Year",9190,9084,18274,24540,33730,11207,12,44800,79900,56,9,6571,22,99,776,196,6,8937,171,175,825,1270
"Muscatine Community College","Iowa","IA","Public","2 Year",NA,4860,4860,6870,6870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Muskegon Community College","Michigan","MI","Public","2 Year",NA,4515,4515,10020,10020,4640,NA,NA,NA,NA,NA,2607,55,37,391,125,2,3551,163,300,16,773
"Muskingum University","Ohio","OH","Private","4 Year",11480,28516,39996,28516,39996,2074,NA,NA,NA,NA,NA,1211,4,12,84,28,0,1419,42,400,85,170
"Myotherapy Institute","Nebraska","NE","For Profit","2 Year",NA,11225,11225,11225,11225,15,NA,NA,NA,NA,NA,13,0,0,0,2,0,13,0,0,0,2
"Napa Valley College","California","CA","Public","2 Year",NA,1414,1414,9154,9154,6348,NA,NA,NA,NA,NA,3536,25,895,443,2442,29,2016,335,144,19,4169
"Naropa University","Colorado","CO","Private","4 Year",12849,31790,44639,31790,44639,996,NA,NA,NA,NA,NA,685,6,9,14,82,0,692,80,76,37,191
"Nash Community College","North Carolina","NC","Public","2 Year",NA,2900,2900,9700,9700,3537,NA,NA,NA,NA,NA,2175,57,31,1374,170,6,1770,63,39,27,1701
"Nashua Community College","New Hampshire","NH","Public","2 Year",NA,7140,7140,15030,15030,2184,NA,NA,NA,NA,NA,1100,8,54,63,172,4,1717,51,115,0,352
"Nashville State Community College","Tennessee","TN","Public","2 Year",NA,4395,4395,17301,17301,10044,NA,NA,NA,NA,NA,6014,34,328,2876,485,19,5852,254,108,88,3996
"Nassau Community College","New York","NY","Public","2 Year",NA,5880,5880,11230,11230,22374,NA,NA,NA,NA,NA,11276,56,1470,5036,5126,83,9210,3,1122,268,11774
"National Paralegal College","Arizona","AZ","For Profit","4 Year",NA,7995,7995,7995,7995,1116,NA,NA,NA,NA,NA,941,9,15,98,57,7,482,7,439,2,193
"National Park College","Arkansas","AR","Public","2 Year",NA,2700,2700,4110,4110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National University","California","CA","Private","4 Year",NA,16710,16710,16710,16710,17608,NA,NA,NA,NA,NA,10680,101,1631,1855,4345,247,7293,729,892,515,8908
"National University of Health Sciences","Illinois","IL","Private","4 Year",NA,12609,12609,12609,12609,705,NA,NA,NA,NA,NA,412,2,53,61,37,1,509,19,18,5,173
"National-Louis University","Illinois","IL","Private","4 Year",NA,10710,10710,10710,10710,4582,NA,NA,NA,NA,NA,3657,11,139,1234,717,8,2246,62,149,16,2171
"Naugatuck Valley Community College","Connecticut","CT","Public","2 Year",NA,4404,4404,13172,13172,7102,NA,NA,NA,NA,NA,4078,14,203,695,1790,8,3925,134,318,15,2844
"Navajo Technical University","New Mexico","NM","Public","2 Year",6270,2360,8630,2360,8630,2075,NA,NA,NA,NA,NA,1218,2051,3,2,7,0,5,3,4,0,2066
"Navarro College","Texas","TX","Public","2 Year",5618,2400,8018,5400,11018,9999,NA,NA,NA,NA,NA,5904,62,74,2109,1795,21,5710,97,0,131,4158
"Nazarene Bible College","Colorado","CO","Private","4 Year",NA,14700,14700,14700,14700,762,19,33600,60100,NA,0,285,9,6,48,51,3,624,21,0,0,138
"Nazareth College","New York","NY","Private","4 Year",13580,34280,47860,34280,47860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska Christian College","Nebraska","NE","Private","4 Year",9020,17665,26685,17665,26685,136,NA,NA,NA,NA,NA,61,0,0,7,6,1,122,0,0,0,14
"Nebraska College of Technical Agriculture","Nebraska","NE","Public","2 Year",7418,5036,12454,5036,12454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska Indian Community College","Nebraska","NE","Public","2 Year",NA,5125,5125,5125,5125,120,NA,NA,NA,NA,NA,85,115,0,0,1,0,4,0,0,0,116
"Nebraska Methodist College of Nursing and Allied Health","Nebraska","NE","Private","4 Year",9586,18048,27634,18048,27634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nebraska Wesleyan University","Nebraska","NE","Private","4 Year",9622,34202,43824,34202,43824,2083,12,45700,80500,60,8,1329,6,38,60,92,2,1702,30,110,43,228
"Neosho County Community College","Kansas","KS","Public","2 Year",6100,3120,9220,3120,9220,2212,NA,NA,NA,NA,NA,1413,45,26,149,83,0,1739,2,2,166,305
"Ner Israel Rabbinical College","Maryland","MD","Private","4 Year",6600,12400,19000,12400,19000,512,NA,NA,NA,NA,NA,0,0,0,0,0,0,484,0,0,28,0
"Neumann University","Pennsylvania","PA","Private","4 Year",13020,31400,44420,31400,44420,3047,NA,NA,NA,NA,NA,1988,4,37,619,77,1,1638,50,588,33,788
"Neumont College of Computer Science","Utah","UT","For Profit","4 Year",5970,24750,30720,24750,30720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nevada State College","Nevada","NV","Public","4 Year",NA,5438,5438,17458,17458,3555,NA,NA,NA,NA,NA,2718,15,370,405,790,59,1548,139,229,0,1778
"New Charter University","California","CA","For Profit","4 Year",NA,2691,2691,2691,2691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New College of Florida","Florida","FL","Public","4 Year",9264,6919,16183,29944,39208,834,20,47300,86500,40,4,494,1,20,22,127,0,590,38,21,15,208
"New England College","New Hampshire","NH","Private","4 Year",14222,37914,52136,37914,52136,2399,NA,NA,NA,NA,NA,1422,11,48,411,148,0,1517,20,158,86,638
"New England Conservatory of Music","Massachusetts","MA","Private","4 Year",15900,48750,64650,48750,64650,782,NA,NA,NA,NA,NA,376,0,69,9,36,0,288,29,49,302,143
"New England Culinary Institute","Vermont","VT","For Profit","2 Year",10466,22210,32676,22210,32676,422,NA,NA,NA,NA,NA,190,0,9,18,25,2,311,6,46,5,60
"New England Institute of Technology","Rhode Island","RI","Private","4 Year",13065,29940,43005,29940,43005,2922,NA,NA,NA,NA,NA,941,19,51,133,283,2,1979,29,319,107,517
"New Hampshire Institute of Art","New Hampshire","NH","Private","4 Year",11460,28280,39740,28280,39740,508,NA,NA,NA,NA,NA,354,7,4,8,38,5,344,14,88,0,76
"New Hope Christian College","Oregon","OR","Private","4 Year",6300,14880,21180,14880,21180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Jersey City University","New Jersey","NJ","Public","4 Year",12738,12051,24789,21573,34311,8136,NA,NA,NA,NA,NA,5158,19,660,1624,2623,0,2318,98,651,143,5024
"New Jersey Institute of Technology","New Jersey","NJ","Public","4 Year",13600,17338,30938,32750,46350,10646,NA,NA,NA,NA,NA,2665,6,1901,899,1749,3,2934,267,1084,1803,4825
"New Mexico Highlands University","New Mexico","NM","Public","4 Year",7872,6150,14022,10302,18174,3546,NA,NA,NA,NA,NA,2268,233,29,163,1891,18,843,43,127,199,2377
"New Mexico Institute of Mining and Technology","New Mexico","NM","Public","4 Year",8510,7770,16280,22268,30778,2127,NA,NA,NA,NA,NA,684,54,67,46,522,2,1191,71,23,151,762
"New Mexico Junior College","New Mexico","NM","Public","2 Year",4350,1452,5802,2196,6546,3332,NA,NA,NA,NA,NA,1947,26,24,247,1488,6,1348,24,151,18,1815
"New Mexico Military Institute","New Mexico","NM","Public","2 Year",5576,6797,12373,14469,20045,459,NA,NA,NA,NA,NA,71,5,14,85,105,31,149,28,1,41,268
"New Mexico State University","New Mexico","NM","Public","4 Year",9252,7368,16620,23508,32760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Mexico State University at Alamogordo","New Mexico","NM","Public","2 Year",NA,2064,2064,5376,5376,2095,NA,NA,NA,NA,NA,1279,75,38,93,801,6,920,46,71,45,1059
"New Mexico State University at Carlsbad","New Mexico","NM","Public","2 Year",NA,1376,1376,1376,1376,1852,NA,NA,NA,NA,NA,1190,36,23,21,924,2,729,25,77,15,1031
"New Mexico State University at Grants","New Mexico","NM","Public","2 Year",536,2064,2600,4104,4640,942,NA,NA,NA,NA,NA,635,242,9,9,370,0,184,17,107,4,647
"New Orleans Baptist Theological Seminary","Louisiana","LA","Private","4 Year",2625,7775,10400,7775,10400,NA,23,33900,61500,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New River Community and Technical College","West Virginia","WV","Public","2 Year",NA,4526,4526,7140,7140,1957,NA,NA,NA,NA,NA,1225,6,19,116,8,1,1791,14,2,0,164
"New River Community College","Virginia","VA","Public","2 Year",NA,4697,4697,10703,10703,4585,NA,NA,NA,NA,NA,2356,12,82,246,117,7,3919,117,32,53,581
"New Saint Andrews College","Idaho","ID","Private","4 Year",NA,12800,12800,12800,12800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York Institute of Technology","New York","NY","Private","4 Year",14290,36890,51180,36890,51180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New York School of Interior Design","New York","NY","Private","4 Year",21300,30834,52134,30834,52134,539,NA,NA,NA,NA,NA,472,0,28,17,37,0,212,10,117,118,92
"New York University","New York","NY","Private","4 Year",18156,51828,69984,51828,69984,49274,NA,NA,NA,NA,NA,27153,94,7314,2374,4267,45,17326,1248,5111,11495,15342
"Newberry College","South Carolina","SC","Private","4 Year",10666,26424,37090,26424,37090,1093,NA,NA,NA,NA,NA,518,4,7,283,48,1,651,32,26,41,375
"Newbury College","Massachusetts","MA","Private","4 Year",14900,35540,50440,35540,50440,874,NA,NA,NA,NA,NA,498,1,49,313,122,0,328,33,0,28,518
"Newman University","Kansas","KS","Private","4 Year",8326,30724,39050,30724,39050,3687,6,48000,88500,66,11,2406,45,180,140,362,7,2739,93,37,84,827
"NHTI-Concord's Community College","New Hampshire","NH","Public","2 Year",9552,7200,16752,15450,25002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niagara County Community College","New York","NY","Public","2 Year",NA,5027,5027,11615,11615,6478,NA,NA,NA,NA,NA,3768,63,79,628,203,6,5278,158,43,20,1137
"Niagara University","New York","NY","Private","4 Year",13200,33180,46380,33180,46380,4015,NA,NA,NA,NA,NA,2497,23,69,218,149,0,2770,69,250,467,528
"Nicholls State University","Louisiana","LA","Public","4 Year",9938,7982,17920,9075,19013,6292,14,44500,84300,53,5,3971,117,70,1242,197,4,4222,176,120,144,1806
"Nichols College","Massachusetts","MA","Private","4 Year",13950,34800,48750,34800,48750,1495,NA,NA,NA,NA,NA,601,3,21,88,95,2,1230,44,0,12,253
"Nicolet Area Technical College","Wisconsin","WI","Public","2 Year",NA,4404,4404,6437,6437,1139,NA,NA,NA,NA,NA,724,44,10,5,14,0,1034,32,0,0,105
"Norco College","California","CA","Public","2 Year",NA,1416,1416,8436,8436,9304,NA,NA,NA,NA,NA,4983,27,746,589,5240,26,2229,339,71,37,6967
"Norfolk State University","Virginia","VA","Public","4 Year",10360,9490,19850,21418,31778,6027,NA,NA,NA,NA,NA,3894,13,55,4942,176,10,356,201,256,18,5397
"Normandale Community College","Minnesota","MN","Public","2 Year",NA,5789,5789,5789,5789,9539,NA,NA,NA,NA,NA,5196,35,779,1294,820,16,5794,494,219,88,3438
"North Arkansas College","Arkansas","AR","Public","2 Year",NA,2850,2850,5790,5790,1976,NA,NA,NA,NA,NA,1167,17,4,7,101,1,1778,65,0,3,195
"North Carolina Agricultural and Technical State University","North Carolina","NC","Public","4 Year",7624,6612,14236,19822,27446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Carolina Central University","North Carolina","NC","Public","4 Year",8909,6348,15257,19055,27964,7687,NA,NA,NA,NA,NA,5127,39,96,5843,221,2,882,267,291,46,6468
"North Carolina State University","North Carolina","NC","Public","4 Year",11078,9101,20179,28444,39522,33989,NA,NA,NA,NA,NA,15044,128,1679,2212,1392,27,22910,961,957,3723,6399
"North Carolina Wesleyan College","North Carolina","NC","Private","4 Year",10800,31000,41800,31000,41800,1872,NA,NA,NA,NA,NA,1089,18,11,895,38,0,563,32,239,76,994
"North Central College","Illinois","IL","Private","4 Year",11019,38880,49899,38880,49899,3043,19,50400,92900,45,9,1676,3,66,118,276,2,2226,79,217,56,544
"North Central Kansas Technical College","Kansas","KS","Public","2 Year",5815,3930,9745,3930,9745,819,NA,NA,NA,NA,NA,321,13,6,10,15,0,770,4,1,0,48
"North Central Michigan College","Michigan","MI","Public","2 Year",6300,3570,9870,7710,14010,2581,NA,NA,NA,NA,NA,1597,109,14,15,50,6,2184,48,154,1,242
"North Central Missouri College","Missouri","MO","Public","2 Year",6055,3510,9565,6210,12265,1746,NA,NA,NA,NA,NA,1210,6,3,33,19,0,1633,0,32,20,61
"North Central State College","Ohio","OH","Public","2 Year",NA,4998,4998,9020,9020,2937,NA,NA,NA,NA,NA,1758,9,27,129,66,3,2482,51,168,2,285
"North Central Texas College","Texas","TX","Public","2 Year",3970,2730,6700,7980,11950,10169,NA,NA,NA,NA,NA,5866,63,213,933,1990,18,6479,304,42,127,3521
"North Central University","Minnesota","MN","Private","4 Year",7400,24240,31640,24240,31640,1191,NA,NA,NA,NA,NA,734,2,14,31,65,1,668,36,367,7,149
"North Country Community College","New York","NY","Public","2 Year",10350,6008,16358,12638,22988,1962,NA,NA,NA,NA,NA,1221,25,10,26,1,2,1697,64,112,25,128
"North Dakota State College of Science","North Dakota","ND","Public","2 Year",6220,5132,11352,12402,18622,3033,NA,NA,NA,NA,NA,1367,31,26,166,50,3,2587,81,57,32,357
"North Dakota State University","North Dakota","ND","Public","4 Year",8565,9294,17859,13273,21838,14747,NA,NA,NA,NA,NA,6786,109,220,361,245,12,11878,260,603,1059,1207
"North Florida Community College","Florida","FL","Public","2 Year",NA,3179,3179,12095,12095,1289,NA,NA,NA,NA,NA,877,2,9,258,77,1,917,0,20,5,347
"North Georgia Technical College","Georgia","GA","Public","2 Year",4000,3268,7268,5938,9938,2663,NA,NA,NA,NA,NA,1553,5,31,177,117,1,2254,36,38,4,367
"North Greenville University","South Carolina","SC","Private","4 Year",10240,19750,29990,19750,29990,2569,NA,NA,NA,NA,NA,1243,8,12,190,68,4,1953,0,325,9,282
"North Hennepin Community College","Minnesota","MN","Public","2 Year",NA,5542,5542,5542,5542,7384,NA,NA,NA,NA,NA,4240,46,973,1599,374,9,3714,392,197,80,3393
"North Idaho College","Idaho","ID","Public","2 Year",7500,4245,11745,10815,18315,5768,NA,NA,NA,NA,NA,3483,179,63,61,259,35,4664,0,507,0,597
"North Iowa Area Community College","Iowa","IA","Public","2 Year",7128,5408,12536,7721,14849,2950,NA,NA,NA,NA,NA,1608,8,32,117,138,0,2590,33,0,32,328
"North Lake College","Texas","TX","Public","2 Year",NA,1770,1770,5220,5220,10744,NA,NA,NA,NA,NA,5789,40,1215,2074,3992,20,2741,124,483,55,7465
"North Park University","Illinois","IL","Private","4 Year",9866,29190,39056,29190,39056,3185,NA,NA,NA,NA,NA,2061,8,222,316,525,27,1569,100,275,143,1198
"North Seattle College","Washington","WA","Public","2 Year",NA,4027,4027,4462,4462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Shore Community College","Massachusetts","MA","Public","2 Year",NA,6450,6450,13410,13410,7412,NA,NA,NA,NA,NA,4480,15,316,705,1626,6,4371,173,188,12,2841
"Northampton Community College","Pennsylvania","PA","Public","2 Year",9094,4380,13474,14100,23194,10531,NA,NA,NA,NA,NA,6286,27,262,1184,2078,21,6447,238,186,88,3810
"Northcentral Technical College","Wisconsin","WI","Public","2 Year",NA,4026,4026,6039,6039,4377,NA,NA,NA,NA,NA,2673,38,267,56,97,8,3619,44,248,0,510
"Northcentral University","California","CA","For Profit","4 Year",NA,11064,11064,11064,11064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northeast Alabama Community College","Alabama","AL","Public","2 Year",NA,4740,4740,8610,8610,2708,NA,NA,NA,NA,NA,1643,87,15,56,181,2,2335,19,3,10,360
"Northeast Community College","Nebraska","NE","Public","2 Year",8605,3480,12085,4635,13240,5061,NA,NA,NA,NA,NA,2339,38,19,62,425,1,3986,105,375,50,650
"Northeast Iowa Community College","Iowa","IA","Public","2 Year",NA,5432,5432,5992,5992,4934,NA,NA,NA,NA,NA,2797,8,14,96,71,4,4594,25,118,4,218
"Northeast Mississippi Community College","Mississippi","MS","Public","2 Year",4480,3816,8296,6656,11136,3538,NA,NA,NA,NA,NA,2073,7,10,628,58,0,2737,45,53,0,748
"Northeast State Community College","Tennessee","TN","Public","2 Year",NA,4451,4451,17357,17357,5865,NA,NA,NA,NA,NA,3120,22,29,145,108,1,5355,92,97,16,397
"Northeast Texas Community College","Texas","TX","Public","2 Year",6300,2849,9149,6149,12449,3186,NA,NA,NA,NA,NA,1964,17,23,415,805,1,1730,84,3,108,1345
"Northeast Wisconsin Technical College","Wisconsin","WI","Public","2 Year",NA,4473,4473,6486,6486,10406,NA,NA,NA,NA,NA,6092,249,300,238,539,2,8906,170,2,0,1498
"Northeastern Illinois University","Illinois","IL","Public","4 Year",11424,14022,25446,25907,37331,10275,NA,NA,NA,NA,NA,5846,23,905,1048,3260,26,4021,167,268,557,5429
"Northeastern Junior College","Colorado","CO","Public","2 Year",7080,5072,12152,7910,14990,1776,NA,NA,NA,NA,NA,996,12,8,110,189,1,1280,47,121,8,367
"Northeastern Oklahoma Agricultural and Mechanical College","Oklahoma","OK","Public","2 Year",5698,4673,10371,10673,16371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northeastern State University","Oklahoma","OK","Public","4 Year",7638,6650,14288,14720,22358,8310,16,44500,77600,58,7,5176,1754,167,360,338,9,4235,1138,187,122,3766
"Northeastern Technical College","South Carolina","SC","Public","2 Year",NA,5490,5490,8940,8940,1090,NA,NA,NA,NA,NA,723,22,5,449,9,0,582,21,2,0,506
"Northeastern University","Massachusetts","MA","Private","4 Year",16880,51387,68267,51387,68267,19798,16,62500,109700,46,40,9764,10,1753,624,1103,7,8828,597,1413,5463,4094
"Northern Arizona University","Arizona","AZ","Public","4 Year",10282,11564,21846,25828,36110,27705,4,49600,90000,56,12,16316,838,468,888,5368,62,17280,1337,218,1246,8961
"Northern Essex Community College","Massachusetts","MA","Public","2 Year",NA,6420,6420,13650,13650,6963,NA,NA,NA,NA,NA,4283,11,127,273,2570,36,3544,83,280,39,3100
"Northern Illinois University","Illinois","IL","Public","4 Year",10880,12262,23142,12262,23142,20611,14,53000,95500,47,20,10442,30,984,2825,2531,22,12318,569,242,1090,6961
"Northern Kentucky University","Kentucky","KY","Public","4 Year",10022,10032,20054,19680,29702,15090,6,49000,87400,46,12,8452,55,166,996,379,17,12551,252,205,469,1865
"Northern Maine Community College","Maine","ME","Public","2 Year",7818,3820,11638,6640,14458,1079,NA,NA,NA,NA,NA,596,22,8,14,16,2,912,8,79,18,70
"Northern Michigan University","Michigan","MI","Public","4 Year",10666,10988,21654,16484,27150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern New Mexico College","New Mexico","NM","Public","4 Year",NA,4765,4765,4765,4765,1371,NA,NA,NA,NA,NA,830,111,13,26,974,2,179,53,11,2,1179
"Northern Oklahoma College","Oklahoma","OK","Public","2 Year",7080,4170,11250,10755,17835,4766,NA,NA,NA,NA,NA,2754,569,63,265,267,0,3511,1,0,90,1165
"Northern State University","South Dakota","SD","Public","4 Year",8029,8498,16527,11471,19500,3531,NA,NA,NA,NA,NA,2147,55,31,49,79,6,3031,52,46,182,272
"Northern Vermont University","Vermont","VT","Public","4 Year",10598,12434,23032,25754,36352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Virginia Community College","Virginia","VA","Public","2 Year",NA,5610,5610,11618,11618,51487,NA,NA,NA,NA,NA,26506,134,7333,9085,10264,266,20097,1855,1118,1335,28937
"Northland College","Wisconsin","WI","Private","4 Year",9176,36183,45359,36183,45359,584,NA,NA,NA,NA,NA,289,12,1,7,28,0,465,18,44,9,66
"Northland Community & Technical College","Minnesota","MN","Public","2 Year",4500,5549,10049,5549,10049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northland Pioneer College","Arizona","AZ","Public","2 Year",NA,2310,2310,10740,10740,3211,NA,NA,NA,NA,NA,1922,1112,22,33,354,6,1501,48,135,0,1575
"Northpoint Bible College","Massachusetts","MA","Private","4 Year",9500,12580,22080,12580,22080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest Arkansas Community College","Arkansas","AR","Public","2 Year",NA,3208,3208,4708,4708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest Christian University","Oregon","OR","Private","4 Year",9300,30050,39350,30050,39350,705,17,45200,81100,62,5,453,18,15,16,57,3,561,24,11,0,133
"Northwest College","Wyoming","WY","Public","2 Year",6090,3420,9510,7932,14022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest College of Art & Design","Washington","WA","For Profit","4 Year",NA,20600,20600,20600,20600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest Florida State College","Florida","FL","Public","2 Year",NA,3324,3324,11634,11634,6295,NA,NA,NA,NA,NA,3647,29,167,533,500,20,4548,273,191,34,1522
"Northwest Indian College","Washington","WA","Public","2 Year",4950,5445,10395,14310,19260,637,NA,NA,NA,NA,NA,417,549,0,2,15,5,25,34,4,3,605
"Northwest Iowa Community College","Iowa","IA","Public","2 Year",NA,5070,5070,5370,5370,1568,NA,NA,NA,NA,NA,835,5,17,4,69,2,1397,18,55,1,115
"Northwest Kansas Technical College","Kansas","KS","Public","2 Year",4850,8300,13150,8300,13150,647,NA,NA,NA,NA,NA,214,0,3,35,89,3,484,20,0,13,150
"Northwest Mississippi Community College","Mississippi","MS","Public","2 Year",3550,3000,6550,5400,8950,7559,NA,NA,NA,NA,NA,4590,10,73,2583,93,2,4746,25,27,0,2786
"Northwest Missouri State University","Missouri","MO","Public","4 Year",10016,9805,19821,16457,26473,6720,13,46900,85100,50,26,3595,20,39,374,182,8,4981,167,241,708,790
"Northwest Nazarene University","Idaho","ID","Private","4 Year",7400,29300,36700,29300,36700,2249,6,46200,80600,68,7,1313,14,27,37,175,9,1754,44,136,53,306
"Northwest School of Wooden Boatbuilding","Washington","WA","Private","4 Year",NA,19500,19500,19500,19500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northwest State Community College","Ohio","OH","Public","2 Year",NA,5102,5102,9942,9942,3612,NA,NA,NA,NA,NA,1650,4,24,96,214,1,2802,38,433,0,377
"Northwest Technical College","Minnesota","MN","Public","2 Year",NA,5488,5488,5488,5488,1091,NA,NA,NA,NA,NA,784,81,12,45,19,1,845,66,21,1,224
